A_AA,A_AT,A_CA,A_GC,A_TC,A_TT,C_AC,C_GA,C_TT,G_AG,G_AT,G_CG,G_GA,G_GC,G_GG,G_TC,G_TT,T_AT,T_CC,T_GA,T_GC,T_GG,T_TT,k-tsallis12.3,k-tsallis22.3,k-tsallis32.3,k-tsallis42.3,k-tsallis52.3
-0.4993044247971477,-0.5246726583016313,-0.515487661557347,-0.4554772878491784,-0.3743580981789526,-0.613723785827169,-0.19655020709042656,-0.4969453559451589,-0.6189496537900232,-0.4997336582449442,-0.5443495535103486,-0.47209037336384896,-0.4167293422513535,-0.5325159280495789,-0.4543794324442439,-0.5717273248394174,-0.4640438356939872,-0.5674057645203665,-0.5420120416434456,-0.4529388345943609,-0.4837289521931159,-0.44769818676554096,-0.6080210092102011,0.24784613188257365,-0.5195021678118267,-0.4672677309515414,-1.3550980332274867,-1.9067072178874929
-0.4993044247971477,-0.42648463453246854,-0.515487661557347,-0.4554772878491784,-0.47358707274703654,-0.4904120782822182,-0.19655020709042656,-0.4969453559451589,-0.6189496537900232,-0.4997336582449442,-0.5443495535103486,-0.47209037336384896,-0.4167293422513535,-0.5325159280495789,-0.4543794324442439,-0.5717273248394174,-0.4640438356939872,-0.46650212754115983,-0.5420120416434456,-0.4529388345943609,-0.4837289521931159,-0.44769818676554096,-0.6080210092102011,0.6353878898910253,0.32268059713644237,-0.09270105155502387,-1.1655449211313103,-1.9067072178874929
-0.42785790348571373,-0.42648463453246854,-0.43097617935479204,-0.4554772878491784,-0.47358707274703654,-0.613723785827169,-0.07102099652614925,-0.4969453559451589,-0.6189496537900232,-0.4997336582449442,-0.5443495535103486,-0.47209037336384896,-0.4167293422513535,-0.5325159280495789,-0.4543794324442439,-0.5717273248394174,-0.4640438356939872,-0.5674057645203665,-0.5420120416434456,-0.4529388345943609,-0.4837289521931159,-0.44769818676554096,-0.6080210092102011,0.4214616516310717,-0.4200362259410479,-0.4988498447023831,-1.1655449211313103,-1.9067072178874929
-0.4993044247971477,-0.42648463453246854,-0.515487661557347,-0.3935500927830373,-0.3743580981789526,-0.4904120782822182,-0.4476086282189812,-0.4969453559451589,-0.4939786432388143,-0.4997336582449442,-0.5443495535103486,-0.34418491926561584,-0.4167293422513535,-0.4618806626484574,-0.49911463873166284,-0.5717273248394174,-0.5430321668566811,-0.5674057645203665,-0.5420120416434456,-0.4529388345943609,-0.4837289521931159,-0.5069824215427131,-0.6080210092102011,0.23426323782337552,-1.6451513401525155,-1.3272166122521492,-1.7928844623132671,-2.266532585768223
-0.42785790348571373,-0.42648463453246854,-0.43097617935479204,-0.4554772878491784,-0.47358707274703654,-0.613723785827169,-0.07102099652614925,-0.4969453559451589,-0.6189496537900232,-0.4997336582449442,-0.5443495535103486,-0.47209037336384896,-0.4167293422513535,-0.5325159280495789,-0.4543794324442439,-0.5717273248394174,-0.4640438356939872,-0.5674057645203665,-0.5420120416434456,-0.4529388345943609,-0.4837289521931159,-0.44769818676554096,-0.6080210092102011,0.3649404226244367,-0.15719444426857845,-0.2175566113538878,-1.1655449211313103,-1.9067072178874929
-0.4993044247971477,-0.42648463453246854,-0.515487661557347,-0.4554772878491784,-0.47358707274703654,-0.4904120782822182,-0.3220794176547038,-0.4969453559451589,-0.6189496537900232,-0.4997336582449442,-0.5443495535103486,-0.47209037336384896,-0.45888139947688117,-0.5325159280495789,-0.4096442261568249,-0.5717273248394174,-0.3850555045312933,-0.5674057645203665,-0.45381681541592733,-0.4529388345943609,-0.4837289521931159,-0.38841395198836887,-0.6080210092102011,0.24730245584204613,-0.38978337731952134,-0.841834410348096,-1.7342042574197327,-2.15282778644196
-0.4993044247971477,-0.42648463453246854,-0.515487661557347,-0.4554772878491784,-0.47358707274703654,-0.36710037073726737,-0.3220794176547038,-0.4969453559451589,-0.6189496537900232,-0.4997336582449442,-0.5443495535103486,-0.47209037336384896,-0.45888139947688117,-0.5325159280495789,-0.4096442261568249,-0.5717273248394174,-0.4640438356939872,-0.5674057645203665,-0.45381681541592733,-0.4529388345943609,-0.4837289521931159,-0.44769818676554096,-0.6080210092102011,0.4702931390537094,0.16985935671654462,-0.4356856172007368,-1.5446511453236096,-1.9067072178874929
-0.4993044247971477,-0.42648463453246854,-0.515487661557347,-0.4554772878491784,-0.47358707274703654,-0.4904120782822182,-0.19655020709042656,-0.4298577328925624,-0.6189496537900232,-0.4997336582449442,-0.5443495535103486,-0.4081376463147324,-0.4167293422513535,-0.5325159280495789,-0.4543794324442439,-0.5717273248394174,-0.4640438356939872,-0.5674057645203665,-0.45381681541592733,-0.4529388345943609,-0.4837289521931159,-0.44769818676554096,-0.6080210092102011,0.3345315437940163,-0.3214788045740188,-0.5858292807703589,-1.2535123775841088,-1.8002235559481627
-0.4993044247971477,-0.42648463453246854,-0.515487661557347,-0.4554772878491784,-0.47358707274703654,-0.4904120782822182,-0.3220794176547038,-0.4969453559451589,-0.4939786432388143,-0.4997336582449442,-0.5443495535103486,-0.47209037336384896,-0.45888139947688117,-0.5325159280495789,-0.4096442261568249,-0.5717273248394174,-0.4640438356939872,-0.5674057645203665,-0.3656215891884091,-0.4529388345943609,-0.4837289521931159,-0.44769818676554096,-0.6080210092102011,0.18810409747453902,-0.38978337731952134,-0.841834410348096,-1.7342042574197327,-1.9067072178874929
-0.4993044247971477,-0.42648463453246854,-0.515487661557347,-0.4554772878491784,-0.47358707274703654,-0.4904120782822182,-0.19655020709042656,-0.4969453559451589,-0.6189496537900232,-0.4997336582449442,-0.5443495535103486,-0.47209037336384896,-0.45888139947688117,-0.5325159280495789,-0.4096442261568249,-0.5717273248394174,-0.4640438356939872,-0.5674057645203665,-0.5420120416434456,-0.4529388345943609,-0.4837289521931159,-0.44769818676554096,-0.6080210092102011,0.13626125601854203,-0.5928245511303907,-0.6853967367984275,-1.7342042574197327,-1.9067072178874929
